system:index,B2,B3,B4,B8,NDVI,landcover,random,.geo
1_2_0_115,0.059,0.05935,0.0457,0.03785,-0.0939557,1,0.6476207007374865,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_117,0.0607,0.0613,0.0468,0.03715,-0.11494937,1,0.0040202413458910735,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_119,0.06025,0.0617,0.048,0.03885,-0.105354086,1,0.058172833421295866,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_120,0.0611,0.06155,0.0497,0.0399,-0.10937498,1,0.42498195785205173,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_1,0.0546,0.0548,0.0413,0.033,-0.111709274,2,0.5189441680937495,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_2,0.05535,0.05565,0.0408,0.0346,-0.082228124,2,0.24284671421689719,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_3,0.0565,0.05835,0.04425,0.04285,-0.016073495,2,0.6862936814944822,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_7,0.0607,0.06155,0.05485,0.09295,0.2577808,2,0.22605364742093503,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_8,0.07385,0.07375,0.07325,0.0929,0.118266605,2,0.34326554428917955,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_9,0.1073,0.1121,0.1219,0.1441,0.08345863,2,0.6990526474357824,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_12,0.05595,0.0552,0.04065,0.03255,-0.11065573,2,0.051035498192628204,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_13,0.05365,0.0544,0.04085,0.0336,-0.097380795,2,0.24872204674302445,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_14,0.05595,0.0543,0.0408,0.03575,-0.06596995,2,0.5726860165414196,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_15,0.05795,0.05675,0.04575,0.0544,0.08637045,2,0.23236962784680115,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_17,0.05715,0.0579,0.04755,0.0828,0.27042577,2,0.5104260734924095,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_18,0.0573,0.05765,0.0519,0.09045,0.27081138,2,0.2121901090141527,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_20,0.08885,0.09285,0.096,0.1125,0.07913667,2,0.5091806214248951,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_21,0.10545,0.1112,0.1173,0.1354,0.07162644,2,0.2995556339614087,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_22,0.1013,0.1026,0.1022,0.114,0.054579087,2,0.657698964557156,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_23,0.07505,0.0728,0.07435,0.08635,0.07467332,2,0.02524839185804051,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_24,0.056,0.0537,0.0398,0.0325,-0.1009682,2,0.002371563525816578,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_25,0.05605,0.05555,0.03995,0.03475,-0.069611765,2,0.6373988512662832,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_27,0.05685,0.0576,0.04705,0.0701,0.19675632,2,0.6239061113598554,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_28,0.05455,0.05735,0.04885,0.0925,0.30880794,2,0.5378252146034673,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_29,0.05455,0.05735,0.04885,0.0925,0.30880794,2,0.5680436648603673,"{""type"":""MultiPoint"",""coordinates"":[]}"
